REGI,TYPO,TAG,IS_TYPO,RLEN,TLEN,TYPO_ENCOUNTER_TIME,VISUAL_SIMILARITY,KEYBOARD_DISTANCE,META_PHONE_DISTANCE,BIGRAM_SIMILARITY,EDIT_DISTANCE,TIME_DISTANCE,SOUNDEX_DISTANCE
uttoradhikar.gov.bd,utoradhikar.gov.bd,2017-09,1,19,18,24-SEP-17 08.12.03.986000000 AM,0.8,1,0,0.97,1,36.6,0
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,24-SEP-17 08.30.31.922000000 AM,0.46,3,0,0.86,3,0,0
rafidcargo.com.bd,saddam-rafidcargo.com.bd,2017-09,0,17,24,24-SEP-17 05.10.54.763000000 AM,0.18,7,4,0.82,7,19.75,4
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,24-SEP-17 03.26.31.164000000 AM,0.8,1,0,0.91,1,1.11,0
rafidcargo.com.bd,saddam-rafidcargo.com.bd,2017-09,0,17,24,24-SEP-17 05.50.02.565000000 AM,0.18,7,4,0.82,7,0.11,4
bbahschool.edu.bd,pmahschool.edu.bd,2017-09,1,17,17,25-SEP-17 03.04.57.120000000 AM,0.65,4,3,0.88,2,10.59,2
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,24-SEP-17 09.52.54.831000000 AM,0.8,1,0,0.91,1,0.01,0
daraz.com.bd,darz.com.bd,2017-09,1,12,11,24-SEP-17 09.08.11.907000000 AM,0.71,1,0,0.86,1,7.02,0
xiclassadmission.gov.bd,xiclassadmissipn.gov.bd,2017-09,1,23,23,24-SEP-17 10.09.15.356000000 AM,0.86,1,0,0.91,1,40.38,0
google.com.bd,xxxgoogle.com.bd,2017-09,1,13,16,24-SEP-17 11.15.19.402000000 AM,0.38,3,1,0.89,3,0.59,2
incometax.gov.bd,incometex.gov.bd,2017-09,1,16,16,24-SEP-17 11.41.36.639000000 AM,0.83,2,0,0.87,1,54.94,0
taxeszonecomilla.gov.bd,texezonecomilla.gov.bd,2017-09,1,23,22,24-SEP-17 11.37.30.929000000 AM,0.71,3,0,0.84,2,17.16,0
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,25-SEP-17 03.01.56.333000000 AM,0.46,3,0,0.86,3,0,0
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,24-SEP-17 09.40.46.731000000 AM,0.8,1,0,0.91,1,1.55,0
islamicfoundation.gov.bd,islamicfoundation.org.bd,2017-09,1,24,24,24-SEP-17 11.17.55.511000000 AM,0.65,3.41,0,0.83,3,3.98,0
bangladesh.gov.bd,banglagdesh.gov.bd,2017-09,1,17,18,24-SEP-17 09.20.02.707000000 AM,0.88,1,0,0.91,1,8.72,0
xiclassadmission.gov.bd,xiclassadmissin.gov.bd,2017-09,1,23,22,25-SEP-17 01.29.26.407000000 AM,0.83,1,0,0.93,1,15.16,0
islamicfoundation.gov.bd,islamicfoundation.org.bd,2017-09,1,24,24,24-SEP-17 11.17.55.610000000 AM,0.65,3.41,0,0.83,3,3.3,0
southeastbank.com.bd,souteastbank.com.bd,2017-09,1,20,19,25-SEP-17 02.19.47.266000000 AM,0.81,1,0,0.92,1,4.76,1
educationboardresults.gov.bd,educationboardresult.gov.bd,2017-09,1,28,27,24-SEP-17 11.14.06.266000000 AM,0.86,1,0,0.94,1,15.82,0
forms.gov.bd,form.gov.bd,2017-09,1,12,11,25-SEP-17 11.05.39.210000000 AM,0.71,1,0,0.86,1,41.15,1
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,25-SEP-17 09.33.19.330000000 AM,0.46,3,0,0.86,3,0,0
nothi.gov.bd,enothi.gov.bd,2017-09,1,12,13,25-SEP-17 09.37.16.167000000 AM,0.71,1,3,0.96,1,15.49,2
dgfp.gov.bd,bgfp.gov.bd,2017-09,1,11,11,25-SEP-17 09.14.31.946000000 AM,0.76,2,1,0.9,1,40.35,1
bdfinance.com.bd,bdfinace.com.bd,2017-09,1,16,15,25-SEP-17 12.05.23.748000000 AM,0.77,1,0,0.9,1,11.06,0
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,25-SEP-17 07.40.22.756000000 AM,0.8,1,0,0.91,1,0.55,0
google.com.bd,google.co.bd,2017-09,1,13,12,25-SEP-17 08.18.52.428000000 AM,0.73,1,0,0.87,1,12.48,0
muktopaath.gov.bd,muktapaath.gov.bd,2017-09,1,17,17,25-SEP-17 08.43.26.972000000 AM,0.85,2,0,0.88,1,26.14,0
teletalk.com.bd,taletak.com.bd,2017-09,1,15,14,25-SEP-17 09.49.50.114000000 AM,0.61,3,1,0.81,2,22.25,1
xiclassadmission.gov.bd,xislassadmision.gov.bd,2017-09,1,23,22,25-SEP-17 11.37.46.909000000 AM,0.69,2.41,0,0.88,2,57.5,2
omronhealthcare.com.bd,amronhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.08.309000000 AM,0.88,2,1,0.95,1,24.15,0
omronhealthcare.com.bd,corpomronhealthcare.com.bd,2017-09,0,22,26,25-SEP-17 07.20.10.243000000 AM,0.41,4,3,0.91,4,22.22,4
omronhealthcare.com.bd,emronhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.10.554000000 AM,0.87,2,1,0.95,1,21.91,0
omronhealthcare.com.bd,ftpomronhealthcare.com.bd,2017-09,0,22,25,25-SEP-17 07.20.11.491000000 AM,0.51,3,3,0.93,3,20.97,4
omronhealthcare.com.bd,ihateomronhealthcare.com.bd,2017-09,0,22,27,25-SEP-17 07.20.11.736000000 AM,0.33,5,3,0.89,5,20.72,3
omronhealthcare.com.bd,http-omronhealthcare.com.bd,2017-09,0,22,27,25-SEP-17 07.20.11.758000000 AM,0.33,5,3,0.89,5,20.7,3
omronhealthcare.com.bd,foromronhealthcare.com.bd,2017-09,0,22,25,25-SEP-17 07.20.11.953000000 AM,0.51,3,3,0.93,3,20.51,3
omronhealthcare.com.bd,lmronhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.15.420000000 AM,0.84,1,1,0.95,1,17.04,1
omronhealthcare.com.bd,moronhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.15.933000000 AM,0.84,2,3,0.9,2,16.53,2
omronhealthcare.com.bd,om4onhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.15.944000000 AM,0.84,1.41,2,0.9,1,16.52,2
omronhealthcare.com.bd,oimronhealthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.16.014000000 AM,0.81,1,0,0.93,1,16.45,0
omronhealthcare.com.bd,okronhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.16.116000000 AM,0.84,1.41,1,0.9,1,16.34,1
omronhealthcare.com.bd,om5onhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.16.685000000 AM,0.84,2,2,0.9,1,15.78,2
omronhealthcare.com.bd,omdonhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.16.968000000 AM,0.84,1.41,1,0.9,1,15.49,1
omronhealthcare.com.bd,omfonhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.17.159000000 AM,0.84,1,1,0.9,1,15.3,1
omronhealthcare.com.bd,omeronhealthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.17.301000000 AM,0.83,1,0,0.93,1,15.16,0
omronhealthcare.com.bd,omonhealthcare.com.bd,2017-09,1,22,21,25-SEP-17 07.20.18.311000000 AM,0.82,1,2,0.93,1,14.15,2
omronhealthcare.com.bd,omranhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.18.695000000 AM,0.88,2,0,0.9,1,13.77,0
omronhealthcare.com.bd,omr0nhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.18.755000000 AM,0.84,2,0,0.9,1,13.71,0
omronhealthcare.com.bd,omornhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.18.789000000 AM,0.84,2,0,0.86,2,13.67,0
omronhealthcare.com.bd,omrenhealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.18.920000000 AM,0.87,2,0,0.9,1,13.54,0
omronhealthcare.com.bd,omronhaalthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.23.565000000 AM,0.87,2,0,0.9,1,8.9,0
omronhealthcare.com.bd,omronealthcare.com.bd,2017-09,1,22,21,25-SEP-17 07.20.23.784000000 AM,0.82,1,0,0.93,1,8.68,0
omronhealthcare.com.bd,omronhalthcare.com.bd,2017-09,1,22,21,25-SEP-17 07.20.23.866000000 AM,0.82,1,0,0.93,1,8.59,0
omronhealthcare.com.bd,omronheaalthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.24.257000000 AM,0.83,1,0,0.98,1,8.2,0
omronhealthcare.com.bd,omronbealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.24.272000000 AM,0.87,1.41,0,0.9,1,8.19,0
omronhealthcare.com.bd,omrongealthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.24.373000000 AM,0.84,1,0,0.9,1,8.09,0
omronhealthcare.com.bd,omronhaelthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.24.471000000 AM,0.87,2,0,0.86,2,7.99,0
omronhealthcare.com.bd,omronhdalthcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.25.063000000 AM,0.84,1,0,0.9,1,7.4,0
omronhealthcare.com.bd,omronh4althcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.25.079000000 AM,0.84,2,0,0.9,1,7.38,0
omronhealthcare.com.bd,omronheaklthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.25.125000000 AM,0.83,1,0,0.93,1,7.34,0
omronhealthcare.com.bd,omronheallthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.26.327000000 AM,0.83,1,0,0.98,1,6.13,0
omronhealthcare.com.bd,omronheal5hcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.26.583000000 AM,0.84,1.41,0,0.9,1,5.88,0
omronhealthcare.com.bd,omronhealkthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.26.601000000 AM,0.83,1,0,0.93,1,5.86,0
omronhealthcare.com.bd,omronhealrthcare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.28.077000000 AM,0.83,1,0,0.93,1,4.38,0
omronhealthcare.com.bd,omronhealthare.com.bd,2017-09,1,22,21,25-SEP-17 07.20.28.278000000 AM,0.82,1,0,0.93,1,4.18,0
omronhealthcare.com.bd,omronhealtcare.com.bd,2017-09,1,22,21,25-SEP-17 07.20.28.800000000 AM,0.82,1,0,0.93,1,3.66,0
omronhealthcare.com.bd,omronhealthca5e.com.bd,2017-09,1,22,22,25-SEP-17 07.20.28.921000000 AM,0.84,2,0,0.9,1,3.54,0
omronhealthcare.com.bd,omronhealthcae.com.bd,2017-09,1,22,21,25-SEP-17 07.20.29.048000000 AM,0.82,1,0,0.93,1,3.41,0
omronhealthcare.com.bd,omronhealthca4e.com.bd,2017-09,1,22,22,25-SEP-17 07.20.29.185000000 AM,0.84,1.41,0,0.9,1,3.28,0
omronhealthcare.com.bd,omronhealthcaare.com.bd,2017-09,1,22,23,25-SEP-17 07.20.29.821000000 AM,0.83,1,0,0.98,1,2.64,0
omronhealthcare.com.bd,omronhealthcafe.com.bd,2017-09,1,22,22,25-SEP-17 07.20.29.848000000 AM,0.84,1,0,0.9,1,2.61,0
omronhealthcare.com.bd,omronhealthcaee.com.bd,2017-09,1,22,22,25-SEP-17 07.20.29.862000000 AM,0.84,1,0,0.9,1,2.6,0
omronhealthcare.com.bd,omronhealtgcare.com.bd,2017-09,1,22,22,25-SEP-17 07.20.29.901000000 AM,0.84,1,0,0.9,1,2.56,0
omronhealthcare.com.bd,omronhealthacre.com.bd,2017-09,1,22,22,25-SEP-17 07.20.30.016000000 AM,0.87,2,0,0.86,2,2.44,0
omronhealthcare.com.bd,omronhealthcard.com.bd,2017-09,1,22,22,25-SEP-17 07.20.31.419000000 AM,0.84,1,0,0.9,1,1.04,0
omronhealthcare.com.bd,omron-healthcare-bg.com.bd,2017-09,0,22,26,25-SEP-17 07.20.32.071000000 AM,0.42,4,0,0.83,4,0.39,0
hotel71.com.bd,hotel71.bd,2017-09,1,14,10,25-SEP-17 07.13.12.425000000 AM,0.24,4,1,0.82,4,0.01,1
gphispat.com.bd,gphispat.bd,2017-09,1,15,11,25-SEP-17 12.01.48.674000000 AM,0.26,4,0,0.83,4,48.91,0
hotel71.com.bd,hotel71.bd,2017-09,1,14,10,25-SEP-17 08.15.47.194000000 AM,0.24,4,1,0.82,4,0,1
